title,content,news_id,label
小雪节气 云南文物“花式”秀暖冬,,2020111187bd8f8c7c904b5e66fb80d56ece1a,0
中国排球功勋教练邹志华逝世 桃李满天下的他是袁伟民的挚友,"<article> <img alt=""中国排球功勋教练邹志华逝世 桃李满天下的他是袁伟民的挚友"" img_height=""761"" img_width=""898"" inline=""0"" src=""https://cdn.xinxiliusdk.cn/202011/26/ff/20201126ff4e0ac6ffde8afe98dd02b4dea6f6.jpeg""> <p>10月31日，中国排坛迎来了非常悲痛的消息，功勋教练邹志华与世长辞。担任过江苏男排总教练和中国男排主教练的邹志华，不仅桃李满天下，还是排坛教父袁伟民的挚友。</p> <p><span>为中国排球奉献一生</span></p> <p>“邹老为江苏排球，中国排球奉献了一生，”江苏省体育局仙林训练基地副主任王宁告诉紫牛记者，邹志华曾担任江苏男排主教练、总教练、中国男排主教练，为中国排球培养了一大批优秀人才，邸安和、周建安、汪嘉伟、沈富麟、俞觉敏、曹平、陈刚、胡进等都是他的学生。其中，汪嘉伟、沈富麟、邸安和、周建安等都跟随他的脚步，担任过中国男排的主教练，俞觉敏更是担任过中国女排的主教练。</p> <p><span>邹志华（中）和两个爱徒汪嘉伟、邸安和。</span></p> <p>“邹导一直非常关心排球的发展，退休后仍心系排球事业，为中国排球运动的发展献计献策。”王宁告诉紫牛记者，邹志华一生都离开过排球，退休后仍常常跑去常州看联赛。</p> <p>“听闻噩耗，心情非常悲伤，我是邹导从小带大的，”邹志华的爱徒，前中国男排主教练邸安和在电话中的声音有些哽咽，他向紫牛记者表示，“不论是在当运动员的时候，还是后来做教练，邹导都给予了我很大的帮助，他的离开是中国排球巨大的损失。”</p> <p>邹志华在担任中国男排主帅期间，以新人为班底的中国男排在洛杉矶奥运会上名列第八，汉城亚运会决赛中击败老对手韩国队夺得冠军，是中国男排最辉煌的时代之一。</p> <p><span>睡在袁伟民上铺的兄弟</span></p> <p>邹志华和袁伟民曾经是队友，关系特别好，“去年袁伟民来南京还特地去看望了邹老。”王宁告诉紫牛记者，当年江苏排球队的宿舍就在中央体育场下面的平房里。邹志华睡上铺，袁伟民睡下铺。两个人来南京几天后就相当熟悉了，一见如故，很快成为了无话不谈的兄弟。</p> <img alt=""中国排球功勋教练邹志华逝世 桃李满天下的他是袁伟民的挚友"" img_height=""729"" img_width=""933"" inline=""0"" src=""https://cdn.xinxiliusdk.cn/202011/23/ea/20201123ea0c0d9df5f1f97b83594b2204af27.jpeg""> <p><span>邹志华（左）和张然、袁伟民。</span></p> <p>1958年，为了迎接1959年第一届全国运动会，江苏打算筹建一批运动队，其中就包括排球项目。为了给各个项目选材，当时的江苏省体干班从全省高中生中选了30多位体育比较好的高中生，在江苏省中学生运动会跳高项目上表现突出的邹志华自然也在挑选之列。</p> <p>和邹志华一起被选中的还有来自苏州的袁伟民。袁伟民身材不高，但是跑得快，跳得高，还练过篮球，非常灵活。和邹志华一样，袁伟民也没有接触过排球，他的理想是成为一名飞行员。</p> <p>1958年7月，在同一天，坐着同一列火车来，邹志华和袁伟民一起来到了南京，在山西路体干班等待接受挑选。</p> <p>当时负责江苏排球队组建的是后来被誉为“江苏排坛泰斗”的张然。在张然出手挑选排球运动员之前，篮球队已经来挑选过一轮，把很多大高个挑走了。在剩下的20位学员中，张然最终只挑中了5个人，其中包括袁伟民和邹志华。</p> <p>从此，邹志华和袁伟民与排球结下了一生的情缘。扬子晚报/紫牛新闻记者 黄啟元</p> </article>",20201199f682bd880f6927f935efa9b19364a2,1
南京城管行：江宁区建立厨余垃圾一体化收运体系,南京城管行：江宁区建立厨余垃圾一体化收运体系,202101fbe5ff5585e9c2543afca582b9ebb831,0
欧美新冠病例飙升，成为全球疫情热区,"<div> <p>摘要：欧洲疫情反弹迅速，美国新增感染人数和死亡人数均呈上升趋势，成为全球疫情热区。</p> <p><img src=""https://cdn.xinxiliusdk.cn/202010/74/85/20201074851bb8902d49b834e4aeb5b6eb4372.jpeg""></p> <p>据路透社报道，全球新冠肺炎疫情持续发展，单日新增确诊病例连创新高，并于16日首次突破40万例。其中，欧洲疫情反弹迅速，美国新增感染人数和死亡人数均呈上升趋势，成为全球疫情热区。</p> <p>欧洲疫情快速反弹</p> <p>世卫组织称，欧洲疫情近期快速反弹是全球日增确诊病例数屡创新高的一个重要原因。世卫组织数据显示，欧洲地区17日报告新增确诊病例超过15.3万例，在全球6个地区中数量最多。</p> <p>据路透社18日报道，自疫情暴发以来，欧洲新冠累计确诊超过630万例，过去9天欧洲报告新增病例超100万例。当前，欧洲报告的单日新增病例数，已超过印度、巴西和美国合计报告单日新增病例数。在全球每100例新冠感染者中，有34例来自欧洲国家。</p> <p>欧洲多数国家疫情都出现反弹，各国政府纷纷采取更严格的防控举措。路透社称，过去一周，英国、法国、俄罗斯、荷兰和西班牙的新增病例数，占据了欧洲新增病例的一半。</p> <p>法国单日新增病例数近日再创新高，首次突破3万。法国总统马克龙本周宣布，对包括巴黎在内的9大都会区实施宵禁，这是法国疫情暴发以来采取的最严格防控举措。法国全境从16日午夜起进入为期4周的卫生紧急状态。</p> <p>英国政府本周也宣布了新的三级警戒系统，按照疫情严重程度将不同地区划分为“中等”、“高”、“非常高”风险三个警戒级别，并实施相应的限制举措。其中，首都伦敦近日被升级为“高”风险地区。</p> <p>一些欧洲国家重新关闭了学校，取消可选择的外科手术，并开始征募学生医护人员，以应对疫情反弹。俄罗斯政府宣布学校将网络授课。北爱尔兰宣布停课两周，关闭餐馆四周。在西班牙，部分地区当局宣布酒吧和餐馆停止营业15日，商场将限制人数。捷克的医院决定减少非必要医疗程序，从而为新冠患者腾出更多床位。</p> <p>波兰卫生官员近日表示，该国“正处于灾难边缘”。波兰正加紧对护士的培训，并考虑建设军事医院以应对疫情。</p> <p>德国总理默克尔17日说，德国目前处于“极为严峻”的新冠大流行阶段，并呼吁民众大幅减少社交接触，避免疫情蔓延失控。</p> <p>另据报道，瑞典研究人员16日报告了该国首例新冠二次感染病例，这是继比利时、荷兰之后，又一欧洲国家证实患者出现二次感染。荷兰的一名女性患者也是全球首例二次感染新冠后死亡的病例。</p> <p>英国政府科学顾问警告称，随着病毒继续传播，预计新冠二次感染病例可能会增多。目前，亚洲、欧洲、北美洲、南美洲等多地都已报告新冠二次感染病例。</p> <p>美国单日新增创新高</p> <p>在大洋彼岸，美国的疫情防控也面临挑战。美国有线电视新闻网（CNN）报道称，美国16日报告了超过6.9万例新冠新增病例，这是7月以来单日新增确诊病例数最多的一天。</p> <p>全美至少有10个州在16日报告了疫情暴发以来的最高单日新增确诊病例数，包括科罗拉多州、印第安纳州、明尼苏达州、新墨西哥州等。</p> <p>过去一周，美国平均每天新增病例数超过5.5万人，较9月中旬增长超过60%。</p> <p>另据报道，全美范围内的新冠病人住院率也不断上升。新墨西哥州近日报告称，本月该州住院率增长了101%。</p> <p>与此同时，美国的新冠死亡人数也在不断攀升，专家认为这可能与住院率上升相关。近期美国每天新增新冠死亡人数约为700人，呈上升趋势，但低于7月下旬至8月中旬的单日死亡新增1000人以上。</p> <p>据华盛顿大学数据模型估计，如果疫情未能得到有效控制，到明年1月中旬，每天可能有超过2300个美国人死于新冠。到明年2月，全美累计死亡病例可能达到39万人。</p> <p>根据约翰斯·霍普金斯大学数据，截至北京时间10月18日6时，美国累计新冠确诊超过809万例，累计死亡超过21.9万例。</p> <p>美国国家卫生研究院专家表示，美国的新冠病毒传播曲线正朝着错误的方向发展，加上冬季即将来临，人们将更多呆在室内，存在潜在危机。专家呼吁，民众应坚持减少聚会和社交接触，并佩戴口罩。</p> <p>还有公共卫生专家警告称，全美范围内的病例激增，可能标志着秋季疫情暴发的开始。</p> <p>“这真是令人痛心的时刻，人们必须保持警惕。”流行病学家阿卜杜勒·埃尔赛义德（AbdulEl-Sayed）表示，不同的是，三四月份时美国新冠疫情并没有在全国范围内传播，但按照目前的增长趋势，未来的疫情情况可能比今年春夏季更严重。</p> <p>声明：转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益，请作者持权属证明与本网联系，我们将及时更正、删除，谢谢。</p> </div>",202010a6dc62099455910f7c1caf43a8fb0c42,1
六旬老太买菜时起贪念“顺手牵羊”偷走摊贩钱包,"<article> <p>市民尚女士平日里在大连泡崖三区的泡崖商城附近一处早市摆摊售卖海鲜，10月31日早上8时许，尚女士像往常一样在自己的摊位前叫卖，在给顾客称好重量转身准备找钱时，突然发现自己放在摊位一旁桌子上的钱匣子里的钱和钱包都“不翼而飞”了，尚女士一下子“慌了神”。尚女士随即在周边超市调取了视频，视频画面还原了事发时的一幕。</p> <p><img alt=""六旬老太买菜时起贪念“顺手牵羊”偷走摊贩钱包"" img_height=""451"" img_width=""1026"" inline=""0"" src=""https://cdn.xinxiliusdk.cn/202011/02/3f/202011023f50dc3c42b74f0a5ebc9d49f6dea5.jpeg""></p> <p><img alt=""六旬老太买菜时起贪念“顺手牵羊”偷走摊贩钱包"" img_height=""418"" img_width=""873"" inline=""0"" src=""https://cdn.xinxiliusdk.cn/202011/5e/e6/2020115ee667493b801569ecf6a87d606d2087.jpeg""></p> <p>视频画面显示，在尚女士的摊位隔壁是一个卖白菜的摊位，一位身穿紫色棉袄、戴着口罩的老人在挑选白菜。在买白菜时，这名老人不时地看向尚女士放在桌子上的钱匣子，购买了白菜后，老人并没有转身离开，而是靠近钱匣子，犹豫了一会后，老人手直接伸进了钱匣子内抓了一把钱装进自己随身携带的包内。而尚女士当时只顾着与周边摊位聊天，桌子上堆积的其他物品也挡住了尚女士的视线，周边的摊贩与路过的市民也并没有注意到这位老人的行为，老人在连续“伸手”两次后，第三次老人更是直接盯上了尚女士放在钱匣子内的包，“那里装的最少有四五千元，都是我凑齐准备要去进货的钱。”在连续两次未得逞后，老人来到桌子的另一侧，将尚女士的包拿出来，在手中其他物品的遮挡下，转身快步离开。</p> <p>根据周边摊贩的回忆，老人年龄在六十岁左右，身穿紫色棉袄，戴着口罩。采访中，尚女士告诉记者，钱匣子内装有当天的收入，钱包内除了四五千元现金以外，还有三张银行卡。目前，尚女士已经到银行进行了挂失，并在辖区派出所报了警。尚女士说，希望这位老人尽快地将钱包以及货款尽快归还，也愿意相信老人只是一念之差犯错。半岛晨报、39度视频记者于雪</p> </article>",20201142e42a253a4385210e652957da19bfab,1
市生态环境局新邵分局总工程师赵秋珍带队陪同县人大对全县各企业进行环境执法工作检查,<div>  <p>近日市生态环境局新邵分局总工程师赵秋珍带队陪同县人大对全县各企业进行环境执法工作检查。 <p></p></p> <p>此次主要检查工业企业环境守法情况。查看排污单位环评审批手续是否齐全，是否进行“三同时”验收，是否严格按照环评要求落实污染防治设施，污染防治设施运行是否正常，污染物是否达标排放，固体废物是否按环评要求实施处置，企业环保档案是否健全，是否存在危险废物，是否存在环境风险隐患等。 <p></p></p> <p>检查组强调各企业要坚持环境保护底线和安全生产红线，把企业生产经营和抓好环境保护、安全生产工作有机结合起来，以高度的紧迫感、责任感，切实将环保措施落到实处，确保环保设施正常运行，为企业实现绿色循环发展提供保障。要牢固树立“隐患就是事故、安全生产没有淡季”的理念，严格落实企业安全生产主体责任，坚持安全第一、预防为主，全面排查安全隐患，加强安全细节管理，维护企业生产经营安全，实现经济效益、生态效益、安全效益和社会效益共赢。 <p></p></p>  </div>,202101688f05f5ed4ea3af2b4ea785249d3c6f,0
61秒｜临沂费县首批自购1800支新冠肺炎疫苗开始免费注射,61秒｜临沂费县首批自购1800支新冠肺炎疫苗开始免费注射,20210170f8f50fdf2c14b79f4ad958a752eb4b,0
“冰清玉洁”撒谎，蔡徐坤机智戳穿：别在上一届甄嬛面前耍心机,"<div> <p>“冰清玉洁”撒谎，蔡徐坤机智戳穿：别在上一届甄嬛面前耍心机《青你2》虽然都已经结束有大半年了，但没想到那些没出道的妹妹们，最近在网上开始兴风作浪起来了。首先是四胞胎“冰清玉洁”在直播中爆料比赛时被同组其他成员翻白眼，接着又说这位成员阻止摄像大哥拍她们。四胞胎说：节目为什么不敢把视频全部放出来呢？我们真的不怕。言下之意，四胞胎觉得自己被节目恶剪了。</p> <div data-param=""FQ9HQEVS054454EE"" data-stat=""inner@photo""> <img src=""https://cdn.xinxiliusdk.cn/202011/b1/be/202011b1bebe7a0448f5b80cdea674c929e3ed.jpeg""> </div> <p>四胞胎爆料后，大众猜测翻白眼的是王承渲，原因是王承渲跟冰清玉洁曾有C位之争。这事发酵了一天，当大家都快认定翻白眼的人是王承渲之时，徐轸轸跳出来了。</p> <div> <img src=""https://cdn.xinxiliusdk.cn/202011/f2/eb/202011f2eb3e0b7560fb33beeaf98da1d6b5df.jpeg""> </div> <p>徐轸轸在粉丝群承认白眼是她翻的，并解释原因：被骂了三个小时谁能忍。不仅如此，她还表示现在看到四胞胎的直播，忍不住又翻了一个。</p> <div> <img src=""https://cdn.xinxiliusdk.cn/202011/8a/0d/2020118a0d08b71f11ec1d72f215df5f73f251.jpeg""> </div> <p>这姐是真的刚，网友们纷纷给她点赞，有些人还被她圈粉了，反正没人同情四胞胎就对了。然而，这事还没完结，过了一天后，“死亡歌姬”苏杉杉也在直播中爆料，说当初录主题曲时，蔡徐坤想给努力的女孩一个升班机会。</p> <div> <img src=""https://cdn.xinxiliusdk.cn/202011/09/95/20201109950d888e45ce4dc4b2136ebac49ff2.jpeg""> </div> <p>蔡徐坤问：你们谁在努力练习？四胞胎谎称自己一直在练，想争取升班。</p> <div> <img src=""https://cdn.xinxiliusdk.cn/202011/50/1f/202011501f122117404b0576caf4984d3f1397.jpeg""> </div> <p>没想到蔡徐坤亲自去调监控了，看了很久的监控后，蔡徐坤没有给四胞胎升班，而是给默默练习却没说出来的苏杉杉升班了。</p> <div> <img src=""https://cdn.xinxiliusdk.cn/202011/b9/87/202011b9875a932699c49664fc79e5736825a7.jpeg""> </div> <p>言下之意，四胞胎撒谎和耍心机了。网友调侃：四胞胎在蔡徐坤面前装小白兔，无异于在上一届的甄嬛面前表演宫斗。</p> <p>这都是人上一届玩剩下的，就别在关公面前耍大刀了。你以为这场闹剧要结束了吗？太天真了，接下来，又一位不知名选手杜紫怡出来为四胞胎说话，表示四胞胎被全网黑，其实也有一半的原因是节目效果。</p> <div> <img src=""https://cdn.xinxiliusdk.cn/202011/dc/0e/202011dc0eb9ae557cc87cb9dcbb5b7e25794f.jpeg""> </div> <p>杜紫怡说：为什么没人敢说训练生偷东西的事？还有人偷用其他训练生的口红，把口红用断了。还有人往其他训练生的衣物柜泼牛奶。</p> <div> <img src=""https://cdn.xinxiliusdk.cn/202011/33/dd/20201133ddd0c08f611698187234cd6cfc1fba.jpeg""> </div> <p>好家伙，看来婧妹比《甄嬛传》还要精彩，建议节目组把剪掉的视频放出来，这样《青你3》都不用任何宣发就可赢在起跑线上了。</p> </div>",2020115b1ba806c5355230a1032adb023d9422,1
一律取消！多地紧急通知！,"<div>  据央视新闻客户端消息   近段时间   全国多地出现零星散发病例   个别地区突发聚集性疫情   有人确诊前和朋友聚餐导致聚集性传播   还有1传33、1传27的超级传播现象   表明疫情形势依然严峻复杂   在此提醒大家疫情防控不能放松   近日，   全国多地紧急发布通知：   聚餐、聚会、宴请、团拜等活动一律取消！       江西鄱阳：聚餐聚会、婚宴等宴请一律取消        1月9日晚   江西鄱阳发布关于严格控制群体性聚餐的通告   明确各村组、各社区个人自办   结婚宴、寿宴、丧宴等宴请一律取消   各单位、各部门、各项目地自办   聚餐聚会活动一律取消   各餐饮单位   严禁承办各种聚餐聚会活动   每桌就座人数一律控制在8人以下   <img src=""https://cdn.xinxiliusdk.cn/static__728222631d1e2e28af065535151438eb5ec79926"">   安徽芜湖：全市大型活动原则上一律不举办   1月9日，   安徽芜湖发布通告要求：   全市大型活动   （如：年会、庙会、茶话会、联谊会、团拜会等）   原则上一律不举办。   提倡家庭私人聚会聚餐等控制在10人以下。   <img src=""https://cdn.xinxiliusdk.cn/static__46618fd94d7dac8902c98c430e69c0178fcf72f9"">       浙江台州：   取消单位集体团拜和慰问、联欢等活动   1月9日晚， 浙江台州发布了 《台州市新型冠状病毒肺炎疫情防控指挥部通告32号》， 其中明确：  原则上取消   单位集体团拜和慰问、  <p>联欢等活动。</p>  <img src=""https://cdn.xinxiliusdk.cn/static__4d5039247f9d2e8f6061a51bf513a83cb4998a8b"">   通告截图   福建安溪：   取消一切尾牙聚餐、庙会   “红白事”一律简办       1月8日   福建安溪明确通知：   取消一切尾牙聚餐、庙会   “红白事”一律简办   <img src=""https://cdn.xinxiliusdk.cn/static__e806c07e4fff8e3d7f8ba92fc56db405fc047f31"">   黑龙江：   机关企事业单位团拜会、   联欢等活动一律取消   据哈尔滨日报1月9日消息，黑龙江省疫情防控指挥部提示：春节来临之际， 该省一律取消机关企事业单位团拜会、年会和大型慰问、联欢等活动。   倡导各类社会组织不举办聚集性活动，市民群众本地过节。   倡导节庆文明新风，不大办婚丧嫁娶，尽量少摆席、少串门、少走动，避免人群聚集，降低疫情传播风险。   山东临沂：   一律取消300人以上   的集体团拜和大型聚餐等活动   据临沂发布1月8日消息，   山东临沂市严防人员聚集   对大型会议、慰问、联欢、聚餐等活动   提出严格要求：   原则上不举办大规模聚集性会议活动，   一律取消300人以上的集体团拜   和大型慰问、联欢、聚餐等活动。   <img src=""https://cdn.xinxiliusdk.cn/static__46cb536180908dc3397c2166334891b7a6d9e7ec"">   河南南阳：  各单位一律取消 大型慰问、联欢、聚餐等活动  据南阳发布1月8日消息，   河南南阳全市各级党政机关、   事业单位、国有企业   原则上不举办大规模聚集性会议活动，   提倡采用视频线上方式举行。   各单位一律取消集体团拜   和大型慰问、联欢、聚餐、培训等活动。   多地此前已明确：取消团拜和大型活动   此前，   为做好元旦春节期间疫情防控工作，   全国多个省份在2021年来临之前   已陆续发出通知，   要求各单位   一律取消集体团拜   和大型慰问、联欢、聚餐、培训等活动。       云南     2020年12月30日，云南省委、省政府召开全省边境疫情防控工作视频调度会议，对疫情防控进行再动员再部署。   会议强调，全省各级党政机关、企事业单位一律取消团拜、大型慰问、联欢、聚餐等活动，加强大型会议的规范管理，鼓励线上开会。           湖北    <p>2020年12月29日，湖北日报报道，湖北省新冠疫情防控指挥部发出通知，就即将到来的元旦春节期间疫情防控工作方案进行部署。</p> <p>根据防控要求，全省各级党政机关、企事业单位一律取消集体团拜和大型慰问、联欢、聚餐等活动；加强大型会议活动规范化管理，鼓励更多组织线上会议，确需召开举办线下大型会议活动的应严格控制人数和规模；组织或承办50人以上的会议活动，特别是有境外、省外等重点地区人员参加的，需制定防控方案并做好严格的防范措施。</p>               宁夏    <p>据宁夏日报报道，2020年12月29日，自治区党委召开常委会会议暨应对新冠肺炎疫情工作领导小组第16次会议。</p> <p>会议指出，要严防传播，减少聚集活动，党政机关、事业单位、国有企业原则上不举办大型会议、大型培训、大型演出、年会聚会，各单位一律取消集体团拜、大型慰问等活动，确需举办的一律严格报批，并压缩规模、控制人数，认真落实核酸检测、扫码测温、佩戴口罩、场所消毒等防控措施。</p>                甘肃    <p>2020年12月29日，甘肃省卫健委官网发布《甘肃省“两节”期间疫情防控要点》，要求单位一律取消集体团拜和大型慰问、联欢、聚餐等活动，避免人员聚集；</p> <p>加强大型活动规范化管理，原则上不举办大型会议、大型培训、大型演出等人群聚集性活动，各类会议、培训、活动等，尽量采取线上方式。</p>                陕西    <p>2020年12月24日，陕西省卫健委副主任马光辉在陕西省新冠肺炎疫情防控工作第三十二场新闻发布会上介绍，全省各级党政机关、事业单位、国有企业要加强大型会议活动规范化管理，原则上不举办大型会议、大型培训、大型演出以及年会聚会等人群聚集性活动，能采取线上的会议、培训、活动尽量采取线上方式。各单位一律取消集体团拜和大型慰问、联欢、聚餐、培训等活动。</p>                辽宁    <p>2020年12月23日，辽宁省统筹推进新冠肺炎疫情防控和经济社会发展工作总指挥部发布《关于做好2021年元旦春节期间疫情防控工作严防发生聚集性疫情的通知》，要求全省各级党政机关、事业单位、国有企业要加强大型会议活动规范化管理，提倡采取视频形式召开，原则上不召开举办大规模聚集性会议活动，确需召开举办的应严格控制人数和规模；各单位一律取消集体团拜和大型慰问、联欢、聚餐、培训等活动。</p>        <p>END</p>    <p>责编：晓城</p> <p>来源：广州日报、央视新闻、江南都市报、芜湖发布、哈尔滨日报等</p>            </div>",2021014ad4369f1a07d529f90d01a57ee977c7,1
“辉煌‘’十三五 奋进新德州” |德州医疗卫生事业交出优秀答卷," <p>2020年12月31日，“辉煌十三五 奋进新德州”主题系列新闻发布会第三场召开，德州市医保局、德州市卫健委相关负责人参加，介绍了“十三五”期间，德州市卫生健康、医疗保障事业发展情况。</p> <p><img src=""https://cdn.xinxiliusdk.cn/static__f6dc601ff3a14905503ea258f08c26f93253d8f4""></p> <p>卫生资源总量持续增长</p> <p>五年间，德州全市医疗卫生服务能力大幅提升，公共卫生服务能力显著增强，居民健康水平不断提高。2019年人均预期寿命达到77.68岁，比2015年提高1.4岁。</p> <p>截至2019年底，德州全市拥有各类卫生机构5395家，较2015年增长10.6%。德州全市各类卫生机构总资产99.21亿元，业务用房面积175.84万平方米，万元以上设备22998台，较2015年分别增长30.21%、25.5%和64.75%。德州全市医疗机构床位数28156张，每千人口拥有床位数4.9张、每千人口执业（助理）医师2.82人、每千人口护士2.36人，较2015年分别增长26.29%、39.6%和32.58%。</p> <p>医疗服务能力大幅提升</p> <p>总投资30亿元、设计床位2000张、建筑面积32万m2的德州市东部医疗中心加快建设步伐，即将封顶；总投资6亿元、设计床位1000张、建筑面积8.6万m2的德州市妇女儿童医院2021年将投入使用；总投资5亿元、设计床位400张、建筑面积6.9万m2的德州市传染病防治中心已经开工建设；各县（市、区）也加快县级医疗卫生重点项目建设步伐。项目全部建成后将增加床位近万张。</p> <p>“十三五”期间，德州市中医院成功创建三级甲等中医医院，德州市妇幼保健院成功创建三级乙等妇幼保健院，临邑县人民医院、庆云县人民医院进入三级乙等综合医院行列。德州全市三级医院由2015年的3家增加到6家，三甲医院由2015年的1家增加到2家。</p> <p>卫生健康改革不断深化</p> <p>“十三五”期间共创建14家省级示范村卫生室、121家市级示范村卫生室和520家县级示范村卫生室，德州全市基层医疗卫生机构提前完成标准化建设任务。遴选100名优秀人才到乡镇卫生院任“业务院长”、300名优秀青年医生到薄弱村卫生室任“村级指导医生”。实施基层医务人员培训工程，对全市基层医务人员进行轮训，大大增强了基层医疗卫生机构的服务能力和管理水平。</p> <p>“十三五”期间，实现各县（市、区）政府办中医院全覆盖，德州全市共有中医医院（含中西医结合医院）24家、中医诊所230家，中医类医院床位4106张；各综合医院、妇幼保健院全部设置中医药科室，所有乡镇卫生院（社区卫生服务中心）全部建立中医药综合服务区（中医馆、国医堂）。</p> <p>人才招引取得新突破</p> <p>“十三五”期间，德州加大卫生人才招引力度。实施“中青年医学专家培养计划”，拨付专项资金400余万元，完成67个“市中青年医学专家培养对象”团队近200人“双一流”单位进修学习。启动“卫生英才”遴选计划，每年遴选“卫生英才”30名，积极推动市域内人才培养。遴选110名学科带头人、学科技术骨干，助推重点专科建设。启动市级首席专家遴选，市疾控中心遴选首席专家3名。建立基层医疗卫生机构人才“县管乡用”机制，完成招聘363人。通过专家坐诊、技术交流等形式柔性引进人才近50人，5人认定为“假日专家”。德州全市3人评定为齐鲁卫生领军人才、8人评定为齐鲁卫生杰出青年人才。</p> <p>疫情期间4.3亿元医保基金确保医院正常运转</p> <p>德州市开设有城镇职工医疗保险（生育保险）、城乡居民医疗保险、职工长期护理保险3个险种，覆盖人群563万人，医保基金收支基本平衡。为应对新冠疫情，建立了医保基金应急预付制度和疫情所需药品和医疗服务临时纳入医保支付制度，预付患者救治、医院周转和药品采购医保基金4.3亿元，确保救治医院不因总额控费影响救治和运转、不因费用和药品问题延误救治。疫情期间，出台减缓缴费政策，全年为全市1.73万家参保单位减征医保费3.34亿元，为270家困难企业缓缴医保费3286.75万元。</p> <p>70个集采药品节约药费3.26亿元</p> <p>通过药品耗材集采降低群众用药负担。截至目前，70个集采药品已节约药费3.26亿元，国家集采第三批55个药品、冠脉支架和省内七市集采的高值医用耗材正在组织落地，预计年可节约1.71亿元。出台了50项惠民医保政策，通过生育保险与职工基本医保合并、取消医用耗材加成、提高意外伤害报销比例、提高残疾人康复医保支付额度等惠民政策落地，不断提高参保人员医保待遇。</p> <p>取消了异地就医转诊证明，解决了困扰群众二十年的反应强烈的堵点问题。自2019年2月开始在德州全市参保职工中推行长护制度以来，已有3387人享受医保待遇，减轻了患者家庭负担。城乡居民高血压、糖尿病人用药纳入医保支付，政策范围内用药医保报销50%，医保基金已支付469.07万元。按病种付费的住院项目和日间手术项目目前已增加至346个。</p> <p>10.45万名“四类人员”全部纳入帮扶范围</p> <p>德州全市10.45万名脱贫享受政策、特困、低保、重度残疾“四类人员”全部被纳入帮扶范围，确保应保尽保、政策落实、难点攻坚、经办服务“四个到位”。全市62.02万人次享受医保待遇5.34亿元；在全省率先实现了“六重保障”一站式、一单制结算；创新性开展“互联网”+医保扶贫工作，建成全国首个医保扶贫大数据平台，确保健康扶贫精准到村、到户、到人。</p> <p>（大众报业·大众日报客户端记者 张双双 通讯员 陈鹏 冯莉 王法成 报道）</p> <p>责任编辑： 籍雅文 xa0xa0xa0xa0 </p> ",2021012ebf566ec036084c819b15865a39baa1,0
